Review,Label
Barang sudah sampai.tp foto tak Ada sangkutan...delivery slow,Negative
slow penghantaran and bad service no response from penjual sangat teruk,Negative
Good price good product quality good job good condition good service good seller and good packaging good deal good order,Positive
penantian yang berbaloi..kasut too bad,Negative
Penghantaran cepat walaupun dari China. 7 hari dh sampai. Kasut cantik. Puas hati beli. Muat kat kaki. Dah try jalan 10k step memang Best. Buat aerobik pun Best. Recommanded seller,Positive
Atti maati naati kudaa sala brand bad it's really bad wummbi want to do for jogging dont buy,Negative
"Barang sampai dengan cepat. Size ok, pakai selesa. Kain sedikit nipis, tapak tak keras, lembut selesa tak sakit kaki. Cantik sama macam gambar. Very recommended ğŸ‘ğŸ»",Positive
The goods have been received.  nampak macam tak boleh tahan lama. ,Negative
sudah ambil size yang besar tapi masih too small for me,Negative
Seius lawa muat pulak tuhâ€¦ quality not okay,Negative
"Kuality barang teruk ,kasut  nampak tidak kacak",Negative
noob lah ... Lain hari boleh order lagi dekat kedai lain tau..,Negative
Baraang diterima dalam keadaan tidak baik  .f you,Negative
Kasut bad pengantar no ok. Bad seller,Negative
bad for daily use. walaupun price okğŸ‘,Negative
Tidak ada kotak add damage protection same takda perubahan kotor d beberapa bahagian,Negative
Tq seller ok la beli buat anak untuk kje material,Neutral
"Penghantaran cepat walaupun dari overseas , conditions 10/10ğŸ’¥ Recommended can repeat next timeğŸ‘ğŸ’¥",Positive
Barang dah sampai.. normal quality..terima kasih seller & shoopee,Neutral
Just receive it.. ok lahh tunggu 3 hari..,Neutral
Kasutt mmg gamn terukk lawa gilerr ğŸ˜â¤ï¸ beli untuk husbandd diee kata lawaa die sukaa ğŸ˜ tpi biasee die pakai size 41 tpi i ambik size 42 gamm ğŸ¥°,Positive
"Safe arrived.. TQ Seller Walaupun jauh dari China, packaging masih okay.. Nak compare quality dengan harga, berpatutanlah tak expect laa sangat macam yg harga premium tu..",Neutral
kasut padan dengan harga.boleh pakai tak sakit kaki. Normal lah,Neutral
"kasut ada masalah. biasa ambik 39 okay, tapi ni, ambik 39 besar sikit la. not good",Negative
kasut normal runner problem,Negative
Tak ada kotak kasut & service post lambat,Negative
"No box, sizenya besar sedikit but ok lah for it",Neutral
Beli kasut memang boleh dikedai.penghantaran.memang buat kan anda rasa marah.kasut datang dari china Sampai malaysia.penghantaran jadi teruk.please improve the quality of the delivery,Negative
"ada warna, can lahh",Neutral
ts off white . But its nice tho . Selesa . Shoes pad nipis jgk la so klau xnk tapak kaki sakit akn dtg beli la pad yg lebih tebal gtu .,Positive
"I bought this for my bf, he hate it very much, tidak selesai, I not recommend it.",Negative
Size memang kena beli satu inch extra.. i pakai memang ngam teroks ! Selesa sangat sangat selesa cuma penghantaran je yang lambat. The color is the same as in the picture.,Neutral
"kasut itu kelihatan tidak baik dan bergaya, i regret buying it",Negative
"Pembungkusan agak mengecewakan, juga terdapat tanda hitam di sebelah kiri and price not reasonable .",Negative
Honest review itâ€™s so nice and fit me well Terima Kasih sellerğŸ¥ºâ¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸recommend buying,Positive
"babe all goood w this shoes ,true to size . design looks quite good . fantastic , hey for my measurements not 100% correct cuz idk size for ball girth. okay",Positive
Could've bagi 5 stars but i received it without a wrapper or a box. I found a tear on the left shoe huhu whyyy Also the size i picked is what i normally buy shoes but this one has a bit of space left when i wear it,Negative
"Suami kata kasut memang selesa pakai,ringan. Berbaloi la beli.. penghantaran pun laju juga . Tq seller tq courier",Positive
Penghantaran tak cepat dn tak awal sangat okelah...kasut ni nice jer size sume okeyy yg kurang 1 bintang pasal takdo kotak langsung direct kasut lepas buka packaging so sad ğŸ˜¢,Negative
"kasut tebal dan tak terlalu keras , walaupun takda kotak tapi kasut sampai dengan beautiful and safe. All okay",Neutral
Very fast delivery even from china ğŸ‘ i really like it! Thankyou!! Will beli lagi!! ğŸ‘ğŸ‘ğŸ‘,Positive
"Sesuai untuk pakai harian dah untuk jalan jugak, saiz ngam and selesa gila pakai kasut ni sebab lembut je rasa.next time boleh repeat lagi belu kat sini sebab kuality ok, harga pun berpatutan",Positive
aku run cepat haha..,Neutral
Kasut sampai dlm keadaan bagus cuma sedikit kemik di bahagian kiri kasut.Kebanyakannya semua okay,Neutral
Terbaik terbaik terima kasih seller saya puas hati sampai tepat pada waktu is the best seller,Positive
"Fits my size,They had 41 size was enough happiness for me Whole shopee have good shoes but until size 40 Ain't my fault that I was born with big foot But thanks for the 41 size â£ï¸",Neutral
"Kasut cun, cantik, smart. Auto hensem anak bujang saya pakai. Berbaloi tunggu lama, dalam 1minggu lebih. Ambil 1 size besar untuk pakai lebih lama dan selesa. Dan alhamdulillah sangat bagus",Positive
Barang sudah diterima..kasut blh la but tali kasut x menarik and kotak pun xada...mcm beli kasut terpakai je....ni masaalah sama saiz 43 jugak kecil...pening,Negative
Barang dah sampai. Puas hati kualitas sangat bagus dan pesanan sesuai dengan yang di pesan. Best pokoknya.ğŸ‘ŒğŸ‘ŒğŸ‘,Positive
"Overall the item is okayğŸ‘ğŸ‘ğŸ‘ , service by seller also bagus, delivery also OK",Neutral
"cantik harap dapat pakai dengan selesa, boleh beli lagi kalau good quality Thank youğŸ‘ğŸ»",Positive
Kasut sudah sampai... penghantaran slow.. Thank you seller..sorry gambar xda kena mengena..malas nk ambil gmbr.. hehehe,Negative
"product quality ok, ok for the price",Neutral
Fast delivery. Bungkusan kemas sangat berpuas hati. Terima kasih. Terima kasih seller .boleh repeat lagi...,Positive
"However, you may need to buy shoes that are two sizes larger than normal. Since I originally wore size 40 shoes, I chose size 41, but when I put on socks, they become very crowded. Overall okay",Neutral
"Material ok cntik... penghantaran laju ğŸ‘ Cuma.....klu nak ambik saiz jng ngmÂ²ğŸ¤­ ambik saiz besar Dr saiz andağŸ˜…saya ambik saiz 42 (untuk suami) kena ambik saiz 44 kot baru muat,apa pn saller laju buat KejağŸ‘",Positive
belikan size besar sikit,Neutral
With the price i think it is really soft and good to wear just donâ€™t wear it daily cuz the material seems to not be durable enuf. puas hati lah..,Neutral
Penghantaran cepat Pembungkusan tiada kotak biasa-biasa je Selesa la juga dipakai Harga pun boleh la just a normal shoe,Neutral
kasut dah smpai size pun ngam overall oke... cuma tkda kotak tpi brng tk rosak jg... My husband don't like the design,Negative
Penghantaran sangt cpat sampai.. barang tiada sebarang kerosakan dan barang yang dihantar mengikut kehendak yang dipilih.. seller juga memberi kerjasama yang baik..btw thank you for your service...,Negative
"Recommend seller, I like the design actually and very nice. I expected the amazing quality of these shoes. Akan Beli lagiğŸ‘",Positive
Thank you seller. Cepat sangat penghantaran. Butiran kasut seperti dalam gambar dan video. Corak tu macam dicat sahaja. But it's okey. Tetap lawa.,Neutral
Okay Dah sampai dengan selamat tanpa sebarang kerosakan lain Hari boleh order lagi Di masa Akan datang terbaik dengan HARGA Dan fast delivery,Positive
cantik sangat saya beli untuk anak lelaki saya ...dia punya kasut saiz besaq betul sapa tak boleh tumpang..ank saya puas hati sangat kasut untuk pakai raya,Negative
"Kasut dah sampai dengan selamat, tapi xde kotak. Tiada kerusakan, semoga boleh tahan lama bila di pakai. Kalau rasa selesa Next time boleh order lagi",Neutral
"not sure how will it be after few months of usage. The sole is a bit thin and can come out if youâ€™re not wearing socks. But other than that, shoes good",Positive
I really like it very much Hope will buy again Thanks seller for the nice shoe I was so happy to having a nice shoe I really love it so muchh,Positive
Sorry for the unrelated picture and video.. bought for my friend.. he likes it.. product just like in the picture..,Neutral
"dh sampai baru review okay,padahal tidak tahan air ye,jangan beli kalau nak beli pakai selam lautan biru okay, ngam memang mantul la pak abu molek bagan terbaik beli la review cantik molek ngam soii la mira mira mira",Negative
Kasut dia cntik dan warna pun sesuai dgn warna di gmbr hehe. Saiz pun ngam di kaki bole pkai jln jln ni ğŸ˜ beli ia guys kasut ringan x berat mna,Positive
"Barang sampai dengan selamat. Tiada kerosakkan. Semua canti. Ngam sama harga dan kualiti. Siapa2 yg mauhu beli, beli saja biarpun murah tapi tetap cantik juga ni smua. Asal kan ada saja bah. Maaf gambar tiada kaitan sebab barang sudah simpan",Positive
"Kasut dia muat, pakai pun selesa. Overall kualiti dia bagus except time shipping, kalau ada bagi kotak bagus lagi, tak dia renyukÂ² dalam plastik.",Positive
Terima kasih Seller.,Neutral
"Fantastic package, good quality, the size fits so well , the shoe wrapped in good condition",Positive
Harga dan kualiti baik kena dengan harga serta penghantaran terbaik,Positive
bad kasut tidak lawa cuma x dpt kasut tapi sokay,Negative
Terima barang dalam keadaan baik.,Neutral
"Beautiful and comfortable shoes, and most importantly fast delivery , thanks saler",Positive
Goods received in good condition and no damage. ,Neutral
Kasut sedikit kemik sebab Takde kotak slow delivery,Negative
"ok lahh, design ini macam ramai orang pakai",Neutral
Kasut sampai with kerosakan tak dlm kotak,Negative
"Ok selamat sampai, received the item",Neutral
ngam ngam can pakai,Neutral
"haven't try yet, looks ok.",Neutral
dapat seperti d igambar....Terima kasih seller,Neutral
"Comes without box, quality ok only but not good value for money.",Negative
"pembungkusan kurang kemas, received item.",Negative
"rasa ok, tidak ada comment untuk kasut ni",Neutral
looks ok tidak pernah try lagi..,Neutral
"kotak so ada kemek sikit, not good",Negative
"okay , kena ngn harga",Neutral
"just got the shoe,  nak bersihkan",Neutral
Barang dah sampai dengan keadaan baik perhantaran cepat dgn sewaktunya Quality cun dgn harga tq saller.,Positive
kasut kecil kecil.. penghantaran j&t guna lori,Neutral
kasut agak kecil... not comfortable,Negative
Barang sampai dgn rosak..kasut koyak dan dpt saiz tidak seperti yg di order..,Negative
"Penghantaran yang pantas, harga baik, layanan penjual sangat baik. okok",Positive
Terbaik seller fast delivery appreciate it alottt thank you so much,Positive
"Trust seller,delivery very good,can buy moreğŸ”¥",Positive
hope fit well to my cousins,Neutral
Barangan diterima dalam keadaan selamat dan dibungkus dengan baik sekali.,Positive
Is this how you guys packing my shoe? Itâ€™s not in the box? Damn I hate this ,Negative
Requested the seller to ship out early,Neutral
I wear it on normal day. rasa ok,Neutral
beli untuk working saje,Neutral
okay lah.. harga dia,Neutral
normal only. kalau rasa murah beli je lah..,Neutral
"Tak cantik. Saiz tak sesuai dan pling penting tak selesa .. warna kuning dia  tak cantik betul, nnt berminat nk beli warna lain pulk.. bad seller",Negative
cuma penghantaran sampai 2 minggu lebih very noob,Negative
"Cantik sangat! Love it so much! Shipping agak lambat masa di oversea. Tapi sgt laju masa dh sampai Malaysia. Shipping masa di Malaysia ni tunggu sehari dua tgkÂ² dah delivered , dh sampai rumah. Very satisfied! Cuma its quiet long to wait masa kasut ni process for Shipping di China. Saya saiz 36 order saiz 37. Tak pakai stokin pun dh boleh ngam tapi kalau pakai stokin skali rasa lebih ngam dan selesa masa jalan. Masa mulaÂ² buka parcel i thought the colour is white , after a while baru perasan mmg cream white same with the colour i ordered. Thank u seller! Brg sampai dlm keadaan yg sgt baik walaupun ship dri tempat yg jauh. Tak sabar nak pakai kat luar sebab cantik! Very recommended!ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ»",Positive
Agak sempit septutnya ambil size 36 tpi trambil size 35 xpalh jnji smpi n nmpk paduuu bila pkiğŸ˜‚ğŸ˜‚ğŸ˜‚korg kena ambil size cun dgn kaki jgn ambil pling kecik dri size septutnya,Negative
Received item in good condition. Good product quality. Trusted and recommended seller. Thank you very much.,Positive
"sangat marah, get delayed for so longggg",Negative
"Alhamdulillah..dah selamat sampai, penghantaran agak lama, sebab dari luar negara..ngam saiz kaki anak dara, good good",Positive
"I got the size i choose. Fit me just on point. Dont have space for socks, but thin sock will be ok. I should choose 37.5 next time.",Neutral
"Cantikkkkk sangattttt , in loveeeeeee gileee kasut niiii ğŸ˜â¤ï¸ boleh repeat lagi niiiiii heheheh , dah sampai ingatkan wrna dark blue rupaÂ² nya hitam nasib baikk , thank you yeee",Positive
Barang sampai..kasut sama mcm dalam gambar...lembut dan sesuai dgn saiz kaki sya..tq seller,Neutral
"Saya suka sangat , tak ape la lmbt sikit asal kan kasut nya Okay bgus saiz pon muat hehehehe I really like it",Positive
Penghantaras pantas. Kualiti kasut terbaik. Cantik design. Thank you seller.,Positive
kasut cantik dan selesa dipakai. saiz ngam beli ikut saiz yg biasa beli di kedai. Can buy second time,Positive
"Sampai lebih awal tak sangka pula tpi muat lah ikut saiz kaki sepatutnya beli yang lebih besar sikit biar tahan lama, tpi takpe alhamdulillahSaya amik saiz 36 sepatutnya amik 37 apa2 pon terima kasih ğŸ‘ğŸ¤—",Neutral
"thank you seller, just received today",Neutral
ok la but i prefer you guys beli one size bigger than i ğŸ˜­,Neutral
thankyou seller barang sampai dengan selamat,Neutral
terimakasih barang selamat  ...pembungkus an yang baik dan tidak koyak.. thank you seller,Neutral
bad shoes. expensive and not comfortable when you guys wear. ,Negative
I bought this just to see wheter I will like it if I want to buy converse. But suprisingly the quality is good. Love the color. A bit small so better take one size up. Baik lah quality dia,Positive
Sorry pic unrelated I like this item fast delivery good packaging the price reasonable thank you sellers. Sangat suka nii...,Positive
penghantaran agak lambat sbb dari china...very disappointing,Negative
"recommended seller, fast delivery and description is same as the item, baik",Positive
"very easy to broken, sakit hati",Negative
"2 weeks alr wear out, sakit hati, mahal ni..",Negative
"Product yang bagus dan murah. And luckily I ordered 1 number bigger than what I usually use, so I didn't get the wrong size. hopefully durable & good job for the seller. thank you.",Positive
"Terbaikkk, Seller respon bagus, Packaging perlu di perkemaskan, Apa2 pon suka anak, Saiz cun, Thank seller, Recommended",Positive
Barang memang cantik di kedai ni.. Tiga kali order disini..Seller pun sangat responsive...Terima kasih Seller and the Rider..godbless till next order.,Positive
"Kualiti kasut ok cuma request kotak yang cantik utk jadikan hadiah, tp sampai kotak rabak, sedikit kecewa, tp overall barang dalam dlm keadaan baik",Positive
"tkdak kotak , kasut penyek , . memang sakit hati",Negative
okeyy jee tapi biasa laa copy kan.. nak complain satu jee kotak hancur betul tapi so far semua okey jee thanks seller,Positive
"Kasut not original, slow penghantaran ",Negative
"warna peach not pink color , awak menipu",Negative
"Tiada kotak , tiada stoking . Tak kisah juga la . Tapi rupanya kaki ku mau 41 . So sad ",Negative
"tq seller , penghantaran sangat laju . kasut sampai dalam keadaan baik and tak kemek sebab duduk dalam kotak ğŸ˜Š mmg nice harga pun murah ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ»ğŸ‘ğŸ» lepasni nak repeat lagi if dah rosak yang beli sekarang ğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ‘ŒğŸ»",Positive
Terbaik la seller fast delivery bgkusan yg kemas kasut yg sgt selesa hrga yg sgt murah tq seller akn repeat oder lg,Positive
Sampai 3 harii cepat sgt. seller ramah. Selesa. Kasut nampak mahal. Recommend,Positive
"GOOD ! order utk sekolah sebenarnya HAHA . overall good penghantaran pantas , packaging good . if nk pakai pegi skolah should buy this one . lebih style sbb ada line merah tu ( my opinion ) . thanks seller . ğŸ¤",Positive
Beli utk ank sekolah..size betul..anak suka.. delivery Okey .. packaging okey..maaf kasut kotor dah ank pakai pegi sekolah...,Neutral
Jenis kasut begini kesukaan ank sy pakai sekolah menengah..price normal,Neutral
Very good material. Very good choice. Very good size. Very cheap but good quality. I was surprise. Seller also good. Delivery also good. Terima Kasih,Positive
"no comment, just a normal shoe. tengok gambar, rasa okay, beli je lahh",Neutral
"ok je, anak nampak suka, tho I just feel it is normal only",Neutral
buy this warna untuk christmas,Neutral
"harap boleh tahan lama, dont wore out so fast",Neutral
"duh tunggu 4 hari, baru dapat. belum test",Neutral
"tanya seller, dia ada jawap, boleh lahh ",Neutral
"boleh lah, kualiy okay for harga ini, tidak ada apa apa boleh cakap",Neutral
"terima kasih seller, sudah dapat",Neutral
Too small. The product is not worth the money. jangan beli,Negative
"Seller is not responsible & ignore the whole chat. Even if u ask for cancellation to amend / to redo your order. They will totally ignore your chat & your request. ğŸ‘ğŸ‘ğŸ‘ğŸ‘ first time I met this kind of seller. Not professional, aku sangat marah tau?",Negative
Very poor material ! Many holes ! Not worth to buy ! jangan beli,Negative
Very Heavy Rubber. susah untuk daily pakai,Negative
"Nk warna lain,lain warna yg sampai, so angry cannot refund",Negative
oder color lain.. terima color lain,Negative
Brg okey cuma seller ni tak bertanggunjawab.. senyap ke tak cakap barang tak cukup,Negative
Received safely and in good condition. Good packaging. Nice and fit nicely. amat puas hati,Positive
"Penghantaran nya cepat,dalam masa 2 hari barang dah sampai dan puas hati. Lembut dipakai dan suami suka. Nanti boleh lah beli lagi dengan seller ini.",Positive
delivery memang cepat dan pantas,Positive
harga memang murah berbanding seller lain.. terbaik lah.,Positive
"Sedap dipakai material lembut, selesa, sesuai utk dipakai outdoor n indoor.",Positive
"selesa, good for normal use",Positive
"baru dapat, not yet try",Neutral
sorry gambar tak sama,Neutral
"ok, nampak macam okay okay je",Neutral
Fast delivery from seller and cheapest item from others seller ğŸ˜‚ its comfortable and soft when it wears. Thank you seller for the best item. memang puas hati,Positive
"Item arrived safely the other days, belum test",Neutral
"size kecik satu size, Size yang besar2 takdak stok kot..Maybe size cart kena adjust",Neutral
"Delivery pantas, packing cantik, kualiti boleh nak nak pakai indoor,",Positive
Penghantaran cepat. Order jumaat. Sampai Isnin. Terbaik seller. Saiz kaki kne ikut UK yek. Xbuleh main agak2. Saya sudah salah order. Dapat kecik. Its ok. Selipar mmg selesa,Positive
Barang selamat sampai dalam keadaan baik..proses pengeposan yg pantas dan layanan yg terbaik dr seller dan penghantaran yg pantas oleh kurier..tq all,Positive
Penghantaran cepat Dan barang diterima dalam keadaan baik. Quality barang baik.secure packaging smpai susah nak buka.bungkusan tebal dengan Buble wrap dengan kemas,Positive
Quality okay la dengan harga.  Overall not bad,Positive
Penghantaran memang mantaap Brg ssmpai dalam keadaan bagus do not have any koyak atau rosak,Positive
"selesa sangat , yang penting tapak dia tak licin ya .. ringan , kalau dapat yang tebal sikit besss , tapi kenalah dengan harga kan , fast delivery terbaik !",Positive
It fits just nice. Great for the price. Will definitely buy again. The delivery time is baik. Other than that all good!,Positive
barang sampai dalam keadaan molek dan pakai pom selesa saiz pom ngam dengan kaki botol air tu cntik sngt harga pom murah berbaloi beli dengan seller ni,Positive
"Terbaik...fast delivery, kualiti ok dan murah. Sedap dan lembut dipakai nak sedap sikit ambil size besar dari biasa, Material getah yang selesa.",Positive
"Barang okay, selesa , kene dengan harga, ingtkan oren pekat, sekali pudar daa, tapi okay la buat ibu mengandung, selesa.",Positive
"Tapi sye order warna kuning, kenapa warna tak sama kenapa warna lain sye dpt utk size 41 tu",Positive
"Selesa, tapak tk licin dan ringan. Murah dan murah... haha..Cuma, saya tersalah pilih size. Sedikit besar utk kaki sy. Tapi boleh aje pakai pun.. jangan membazir.. Thanks seller!",Positive
"Nipis sangat, no like dalam photo",Negative
Kasut lembut tp nipis xsama dgn dalam gambar...too expensive for this price,Negative
Fast delivery. However poor packing due to breakage of both boxes of eyeshadow which is quite kecewa,Negative
"Wrong size, purchase size 40 but dapat size 38 ğŸ˜­",Negative
"Belikan untuk mertua. Order warna oren, yg sampai warna biru. Da lah post out lambat. Kecewa betul",Negative
nipis. Tak sama mcm photo atau description 4cm. Misleading & tak jujur.,Negative
Quality is not bad but seller is very bad doesn't reply in chats Delays your order This seller is not recommended at all,Negative
"Its for sure fake, FAKE!!!definitely not Japanese slippers. Totally not the same Japanese products I bought from other stores. The size is over smaller. Very poor quality obviously. NOT buying again for sure! rasa macam kena tipu",Negative
"Saiz kecik walaupun dah pilih besar skali mcm apa tah, very bad",Negative
Quality not as expected. Different from the photo shown. Thickness not as mentioned. Size differ and not to actual size. Need to buy one size bigger. Overall not bad but disappointed because photo shown different from what I got. tidak baik,Negative
disebabkan sempit jadi keselesaan memang tidak ada.. too tight,Negative
Saiz kecik 1 saiz standard. Lepas tu hantar salah saiz..malas nak pulang.,Negative
Item received not as advertised. Only 1cm thick not 4 cm. rasa macam kena tipu,Negative
"sliper baru sampai. Proses order sampai ke penghantaran memang cepat. Tapi lagi cepat selipar ni rosak. Barang sampai petang. Malam baru sarung pusing2 dalam rumah, tau2 jadi macam ni dah.",Negative
Xsama macam dalam gambar. Ingat tebal ..nipis mcm selipar Jepun biasa..xberpuas hati..sorry,Negative
thick soft inside fabric inside and PU leather outside,Neutral
"yang mana tinggi under 160 , tryla . auto nampak tinggi HAHAHA .",Neutral
I followed the commentsâ€™ to size up one size. It fits just nice but no space for socks. Maybe need to size up 2 sizes so can wear with socks.,Neutral
The shoes so pretty and so thick.,Positive
But my normal size are 36 but when i choose 36 it's seem big one size,Neutral
maaf gambar dan video tiada kaitan dengan produk yang dibeli,Neutral
Thanks.. dpt free pula stokin ni .. thank you so much seller,Positive
Ahhh finally dah dpt kasut ni. Tengok review bnyk sgt positif so decide nk beli jugak. Tq seller sb penghantaran laju. Syg pulak nk pakai sb wrna putih kan.,Positive
size ngam dikaki...,Neutral
"nasi goreng ayam masak kicap steam sedap walaupun ayaum behma hrj, comment happy happy je",Positive
"Got socks as a free gift from the seller, Thank you very much. Very fast delivery and good value! Very recommended boleh beli lagi",Positive
"Received, baru dapat",Neutral
Order not complete.. Only received one shoe. sakit hati ,Negative
"tak berat, okok",Neutral
wife saya suka..,Neutral
Took sometime to deliver. Sudah tunggu 2 minggu,Negative
Kuatnye bau getah kasut ..pening..mcm tayar terbakar,Negative
Nice & satisfied..ğŸ‘ğŸ‘ğŸ‘..love it..size ngam..beautiful colour same as pic..overall is ok & just take 1 week delivery even from oseas,Positive
kulit lembut. pakai ikut size,Neutral
macam okokğŸ‘Œ,Neutral
Brg dh smpai dgn baik packaging.sgt suka dan jtuh cinta dgn flat shoes ni..recommended to buy this..ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ŒğŸ‘ŒğŸ‘ğŸ‘â­ï¸â­ï¸â­ï¸â­ï¸â­ï¸..so impressed and adorable..â¤ï¸fallin in love trus tp 2 colours only..xde many choosen colour.if ade kaler lain i repeat order strait away..hahahağŸ˜˜,Positive
"this one is not better than nike, kualiti tidak bagus",Negative
lebih baik buy from nike or adidas when promotion.,Negative
"sangat expensive, not worth, jangan beli",Negative
"penghantaran slow lahh, wait for 2 minggu",Negative
I feel like kena tipu,Negative
"not same dengan gambar, tidak baik",Negative
rasa no good,Negative
Barang sudah sampai tq sellerğŸ‘,Neutral
Item received. Thank you so much.,Neutral
beli untuk maid I Can consider buy the pink color.,Neutral
maaf lambat update...cume kotaknye abes remuk...penyek mase dapat... Kasutnye alhmdulillah okey...tq..,Neutral
"worth for the price, baik, penghantaran laju",Positive
"barang dah sampai, haven't try",Neutral
Terima kasih barang sudah sampai dengan selamat delivery pun laju,Positive
"True To Sizeï¼ŒIn Good Qualityï¼Œand is pretty, baik lahh",Positive
"Is Good But Raining Will Wet Faster, so consider normal only",Neutral
she want to buy again if she got enough budget,Neutral
The colour got difference from the picture,Negative
Terimaksih seller barang sudah sampai..harga terjangkau bagus kualitasnya...nanti mau order lagi yang banyak terimakasih,Positive
allhamdulillah kasut soft gitu..,Neutral
Barang dah sampai dalam keadaan yang tidak baik dan bungkusan yang tidak kemas,Negative
"barang dah lama smpai tapi baru ada masa, sorry for late review",Neutral
Alhamdulillah kasut selamat sampai Cepat juga lah daripada oversea anak perempuan sangat suka Thank you seller atas perkhidmatan yang laju,Positive